Long Name	Short Name	Synchronized	Editable	Visibile in StyleSheet
G-Ring Latitude	gringlat		Y	C,F
G-Ring Longitude	gringlon		Y	C,F
Dataset G-Polygon Exclusion G-Ring	dsgpolyx			
G-Ring	gring			C,F
G-Ring Point	grngpoin			
G-Ring Latitude	gringlat		Y	C,F
G-Ring Longitude	gringlon		Y	C,F
Data Frames	eframes			
Data Frame Count	framect		Y	F
Data Frame Name	framenam		Y	F
Keywords	keywords			
Theme	theme			
Theme Keyword Thesaurus	themekt	H	Y	C,F
Theme Keyword	themekey	H	Y	G,E,C,F
Place	place			
Place Keyword Thesaurus	placekt		Y	C,F
Place Keyword	placekey		Y	G,E,C,F
Stratum	stratum			
Stratum Keyword Thesaurus	stratkt		Y	C,F
Stratum Keyword	stratkey		Y	E,C,F
Temporal	temporal			
Temporal Keyword Thesaurus	tempkt		Y	C,F
Temporal Keyword	tempkey		Y	E,C,F
Access Constraints	accconst	H	Y	G,Q,E,C,F
Use Constraints	useconst	H	Y	G,Q,E,C,F
Point of Contact	ptcontac			
Contact Information	cntinfo			
See Contact Information below.			Y	Q,C,F
Browse Graphic	browse			
*  Browse Graphic Embedded	browseem			E,F
Browse Graphic File Name	browsen		Y	Q,E,C,F
Browse Graphic File Description	browsed		Y	Q,E,C,F
Browse Graphic File Type	browset		Y	Q,E,C,F
Dataset Credit	datacred		Y	Q,C,F
Security Information	secinfo			
Security Classification System	secsys		Y	C,F
Security Classification	secclass		Y	C,F
Security Handling Description	sechandle		Y	C,F
Native Dataset Environment	native	S	Y	E,C,F
* Native Dataset Format	natvform	S	Y	G,E,F
Cross Reference	crossref			
Citation Information	citeinfo			
See Citation Information below.			Y	C,F
Description of Association	assndesc			F
				
Data Quality Information	dataqual			
Attribute Accuracy	attracc			
Attribute Accuracy Report	attraccr		Y	Q,C,F
Quantitative Attribute Accuracy Assessment	qattracc			
Attribute Accuracy Value	attraccv		Y	C,F
Attribute Accuracy Explanation	attracce		Y	C,F
Logical Consistency Report	logic		Y	Q,C,F
Completeness Report	complete		Y	Q,C,F
Positional Accuracy	posacc			
Horizontal Positional Accuracy	horizpa			
Horizontal Positional Accuracy Report	horizpar		Y	Q,E,C,F
Quantitative Horizontal Positional Accuracy  Assessment	qhorizpa			
Horizontal Positional Accuracy Value	horizpav		Y	E,C,F
Horizontal Positional Accuracy Explanation	horizpae		Y	E,C,F
Vertical Positional Accuracy	vertacc			
Vertical Positional Accuracy Report	vertaccr		Y	Q,E,C,F
Quantitative Vertical Positional Accuracy  Assessment	qvertpa			
Vertical Positional Accuracy Value	vertaccv		Y	E,C,F
Vertical Positional Accuracy Explanation	vertacce		Y	E,C,F
Lineage	lineage			
Source Information	srcinfo			
Source Citation	srccite			
Citation Information	citeinfo			
See Citation Information below.			Y	Q,C,F
Source Scale Denominator	srcscale		Y	G,Q,C,F
Type of Source Media	typesrc		Y	Q,C,F
Source Time Period of Content	srctime			
Time Period Information	timeinfo			
See Time Period Information below.			Y	C,F
Source Currentness Reference	srccurr		Y	C,F
Source Citation Abbreviation	srccitea		Y	C,F
Source Contribution	srccontr		Y	Q,C,F
Process Step	procstep			
Process Description	procdesc		Y	Q,C,F
Process Software and Version	procsv		Y	F
Source Used Citation Abbreviation	srcused		Y	Q,C,F
Process Date	procdate		Y	Q,C,F
Process Time	proctime		Y	C,F
Source Produced Citation Abbreviation	srcprod		Y	Q,C,F
Process Contact Information	proccont			
Contact Information	cntinfo			
See Contact Information below.			Y	Q,C,F
Cloud Cover	cloud		Y	C,F
				
Spatial Data Organization Information	spdoinfo			
Indirect Spatial Reference	indsprdf		Y	Q,C,F
Direct Spatial Reference Method	direct	S	Y	Q,E,C,F
Point and Vector Object Information	ptvctinf			
ESRI Terms Description	esriterm			
ESRI Feature Type	efeatyp	S	N	E,F
ESRI Feature Geometry	efeageom	S		E,F
ESRI Topology	esritopo	S	N	E,F
ESRI Feature Count	efeacnt	S	N	E,F
Spatial Index	spindex	S	N	E,F
Linear Referencing	linrefer	S	N	E,F
Network Role	netwrole	S		E,F
XY Rank	XYRank	S		E,F
Z Rank	ZRank	S		E,F
Topology Weight	topoWeight	S		E,F
Events on Validation	validateEvents	S		E,F
Participates in Topology Rules	partTopoRules			
Topology Rule ID	topoRuleID	S		E,F
Feature Description	featdesc		Y	E,F
SDTS Terms Description	sdtsterm			
SDTS Point and Vector Object Type	sdtstype	S	Y	Q,E,C,F
Point and Vector Object Type Count	ptvctcnt	S	Y	Q,E,C,F
VPF Terms Description	vpfterm			
VPF Topology Level	vpflevel	S	Y	Q,E,C,F
VPF Point and Vector Object Information	vpfinfo			
VPF Point and Vector Object Type	vpftype	S	Y	Q,E,C,F
Point and Vector Object Type Count	ptvctcnt	S	Y	Q,E,C,F
Raster Object Information	rastinfo			
*  Image Format	rastifor	S	Y	E,F
Raster Object Type	rasttype	S	Y	Q,C,F
Image Type	rastityp		Y	F
Number of Bands	rastband	S	Y	E,F
Row Count	rowcount	S	Y	Q,E,C,F
Column Count	colcount	S	Y	Q,E,C,F
Vertical Count	vrtcount	S	Y	Q,E,C,F
Cell Size X Direction	rastxsz	S	Y	E,F
Cell Size X Units	rastxu		Y	F
Cell Size Y Direction	rastysz	S	Y	E,F
Cell Size Y Units	rastyu		Y	F
Bits Per Pixel	rastbpp	S	Y	E,F
Background Nodata Value	rastnodt		Y	F
Pyramid Layers	rastplyr	S	N	E,F
Image Colormap	rastcmap	S	Y	E,F
Compression Type	rastcomp	S	Y	E,F
Raster Display Type	rastdtyp	S	Y	E,F
Raster Origin	rastorig	S	Y	E,F
Geometric Network Information	netinfo			
Network Type	nettype	S		E,F
Connectivity Rule	connrule			
Rule Type	ruletype	S		E,F
Rule Category	rulecat	S		E,F
Rule Help	rulehelp	S		E,F
From Edge Feature Class	rulefeid	S		E,F
From Edge Subtype	rulefest	S		E,F
To Edge Feature Class	ruleteid	S		E,F
To Edge Subtype	ruletest	S		E,F
Default Junction Feature Class	ruledjid	S		E,F
Default Junction Subtype	ruledjst	S		E,F
Available Junction	rulejunc			
Available Junction Feature Class	junctid	S		E,F
Available Junction Subtype	junctst	S		E,F
Edge Feature Class	ruleeid	S		E,F
Edge Subtype	ruleest	S		E,F
Edge Minimum Cardinality	ruleemnc	S		E,F
Edge Maximum Cardinality	ruleemxc	S		E,F
Junction Feature Class	rulejid	S		E,F
Junction Subtype	rulejst	S		E,F
Junction Minimum Cardinality	rulejmnc	S		E,F
Junction Maximum Cardinality	rulejmxc	S		E,F
Network Element	elemcls			
Ancillary Role	roletype	S		F
Ancillary Role Attribute	rolefld	S		F
Enabled Attribute	enabfld	S		F
				
Spatial Reference Information	spref			
Horizontal Coordinate System Definition	horizsys			
Coordinate System Name	cordsysn			
Projected Coordinate System Name	projcsn	S	Y	E,F
Geographic Coordinate System Name	geogcsn	S	Y	E,F
Geographic	geograph			G
Latitude Resolution	latres	S	Y	Q,E,C,F
Longitude Resolution	longres	S	Y	Q,E,C,F
Geographic Coordinate Units	geogunit	S	Y	Q,E,C,F
Planar	planar			
Map Projection	mapproj			
Map Projection Name	mapprojn	S	Y	G,Q,E,C,F
Albers Conical Equal Area	albers	S		F
Standard Parallel	stdparll	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Azimuthal Equidistant	azimequi	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Equidistant Conic	equicon	S		F
Standard Parallel	stdparll	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Equirectangular	equirect	S		F
Standard Parallel	stdparll	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
General Vertical Near-Sided Perspective	gvnsp			F
Height of Perspective Point Above  Surface	heightpt		Y	Q,E,C,F
Longitude of Projection Center	longpc	S4	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S4	Y	Q,E,C,F
False Easting	feast	S4	Y	Q,E,C,F
False Northing	fnorth	S4	Y	Q,E,C,F
Gnomonic	gnomonic			F
Longitude of Projection Center	longpc	S4	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S4	Y	Q,E,C,F
False Easting	feast	S4	Y	Q,E,C,F
False Northing	fnorth	S4	Y	Q,E,C,F
Lambert Azimuthal Equal Area	lamberta	S		F
Longitude of Projection Center	longpc	S	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Lambert Conformal Conic	lambertc	S		F
Standard Parallel	stdparll	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Mercator	mercator	S		F
Standard Parallel	stdparll	S	Y	Q,E,C,F
Scale Factor at Equator	sfequat		Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Modified Stereographic for Alaska	modsak			F
False Easting	feast		Y	Q,E,C,F
False Northing	fnorth		Y	Q,E,C,F
Miller Cylindrical	miller	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Oblique Mercator	obqmerc	S		F
Scale Factor at Center Line	sfctrlin	S	Y	Q,E,C,F
Oblique Line Azimuth	obqlazim			
Azimuthal Angle	azimangl	S	Y	Q,E,C,F
Azimuth Measure Point Longitude	azimptl	S	Y	Q,E,C,F
Oblique Line Point	obqlpt			
Oblique Line Latitude	obqllat	S	Y	Q,E,C,F
Oblique Line Longitude	obqllong	S	Y	Q,E,C,F
Oblique Line Latitude	obqllat	S	Y	Q,E,C,F
Oblique Line Longitude	obqllong	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Orthographic	orthogr			F
Longitude of Projection Center	longpc	S4	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S4	Y	Q,E,C,F
False Easting	feast	S4	Y	Q,E,C,F
False Northing	fnorth	S4	Y	Q,E,C,F
Polar Stereographic	polarst			F
Straight Vertical Longitude from Pole	svlong		Y	Q,E,C,F
Standard Parallel	stdparll		Y	Q,E,C,F
Scale Factor at Projection Origin	sfprjorg		Y	Q,E,C,F
False Easting	feast		Y	Q,E,C,F
False Northing	fnorth		Y	Q,E,C,F
Polyconic	polycon	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Robinson	robinson	S		F
Longitude of Projection Center	longpc	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Sinusoidal	sinusoid	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Space Oblique Mercator (Landsat)	spaceobq			F
Landsat Number	landsat		Y	Q,E,C,F
Path Number	pathnum		Y	Q,E,C,F
False Easting	feast		Y	Q,E,C,F
False Northing	fnorth		Y	Q,E,C,F
Stereographic	stereo	S		F
Longitude of Projection Center	longpc	S	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Transverse Mercator	transmer	S		F
Scale Factor at Central Meridian	sfctrmer	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
van der Grinten	vdgrin	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
*    Behrmann	behrmann	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Bonne	bonne	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Cassini	cassini	S3		F
Scale Factor at Central Meridian	sfctrmer	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
Latitude of Projection Origin	latprjo	S	Y	E
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert I	eckert1	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert II	eckert2	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert III	eckert3	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert IV	eckert4	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert V	eckert5	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Eckert VI	eckert6	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Gall Stereographic	gallster	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Loximuthal	loxmuth	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
Latitude of Projection Origin	latprjo	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Mollweide	mollweid	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Quartic Authalic	quartic	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Winkel I	winkel1	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Winkel II	winkel	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Other Projection Definition	otherprj	S3		F
Individual map projection parameters.  See Appendix C for production rules.		S	Y	Q,E,F
Map Projection Parameters	mapprojp	S4		F
Individual map projection parameters.  See Appendix C for production rules.		S4		E,F
Grid Coordinate System	gridsys			
Grid Coordinate System Name	gridsysn	S	Y	G,Q,E,C,F
Universal Transverse Mercator (UTM)	utm			
UTM Zone Number	utmzone	S	Y	Q,E,C,F
Transverse Mercator	transmerc			
See Transverse Mercator above		S	Y	Q,E,C,F
Universal Polar Stereographic (UPS)	ups			
UPS Zone Identifier	upszone		Y	Q,E,C,F
Polar Stereographic	polarst			
See Polar Stereographic above.			Y	Q,E,C,F
State Plane Coordinate System (SPCS)	spcs			
SPCS Zone Identifier	spcszone	S	Y	Q,E,C,F
Lambert Conformal Conic	lambertc			
See Lambert Conformal Conic  above.		S	Y	Q,E,C,F
Transverse Mercator	transmer			
See Transverse Mercator above.		S	Y	Q,E,C,F
Oblique Mercator	obqmerc			
See Oblique Mercator above.		S	Y	Q,E,C,F
Polyconic	polycon			
See Polyconic above.		S	Y	Q,E,C,F
ARC Coordinate System	arcsys			
ARC System Zone Identifier	arczone		Y	Q,E,C,F
Equirectangular	equirect			
See Equirectangular above.			Y	Q,E,C,F
Azimuthal Equidistant	azimequi			
See Azimuthal Equidistant above.			Y	Q,E,C,F
Other Grid System Definition	othergrd		Y	Q,E,C,F
Local Planar	localp			G
Local Planar Description	localpd		Y	Q,E,C,F
Local Planar Georeference Information	localpgi		Y	Q,E,C,F
Planar Coordinate Information	planci			
Planar Coordinate Encoding Method	plance	S	Y	Q,E,C,F
Coordinate Representation	coordrep			
Abscissa Resolution	absres	S	Y	Q,E,C,F
Ordinate Resolution	orders	S	Y	Q,E,C,F
Distance and Bearing Representation	distbear			
Distance Resolution	distress		Y	Q,E,C,F
Bearing Resolution	bearers		Y	Q,E,C,F
Bearing Units	bearunit		Y	Q,E,C,F
Bearing Reference Direction	bearrefd		Y	Q,E,C,F
Bearing Reference Meridian	bearrefm		Y	Q,E,C,F
Planar Distance Units	plandu	S	Y	Q,E,C,F
Local	local			G
Local Description	localdes		Y	Q,E,C,F
Local Georeference Information	localgeo		Y	Q,E,C,F
Geodetic Model	geodetic			
Horizontal Datum Name	horizdn	S	Y	Q,E,C,F
Ellipsoid Name	ellips	S	Y	Q,E,C,F
Semi-Major Axis	semiaxis	S	Y	Q,E,C,F
Denominator of Flattening Ratio	denflat	S	Y	Q,E,C,F
Vertical Coordinate System Definition	vertdef			
Altitude System Definition	altsys			
Altitude Datum Name	altdatum		Y	Q,E,C,F
Altitude Resolution	alters	S	Y	Q,E,C,F
Altitude Distance Units	altunits		Y	Q,E,C,F
Altitude Encoding Method	altenc	S	Y	Q,E,C,F
Depth System Definition	depthsys			
Depth Datum Name	depthdn		Y	Q,E,C,F
Depth Resolution	depthres		Y	Q,E,C,F
Depth Distance Units	depthdu		Y	Q,E,C,F
Depth Encoding Method	depthen		Y	Q,E,C,F
				
Entity and Attribute Information	eainfo			
Detailed Description	detail			
Entity Type	enttyp			
Entity Type Label	enttypl	S	Y	Q,E,C,F
Entity Type Type	enttypt	S	N	E,F
Entity Type Count	enttypc	S	N	E,F
Entity Type Definition	enttypd		Y	Q,E,C,F
Entity Type Definition Source	enttypds		Y	Q,E,C,F
Attribute	attr			
Attribute Label	attrlabl	S	Y	Q,E,C,F
Attribute Alias	attalias	S		E,F
Attribute Definition	attrdef	S4	Y	Q,E,C,F
Attribute Definition Source	attrdefs	S4	Y	Q,E,C,F
Attribute Type	attrtype	S	N	E,F
Attribute Width	attwidth	S	N	E,F
Attribute Precision	atprecis	S	N	E,F
Attribute Scale	attscale	S		E,F
Attribute Output Width	atoutwid	S		E,F
Attribute Number of Decimals	atnumdec	S		E,F
Attribute Indexed	atindex		N	F
Attribute Domain Values	attrdomv			
Enumerated Domain	edom			
Enumerated Domain Value	edomv		Y	Q,C,F
Enumerated Domain Value Definition	edomvd		Y	Q,C,F
Enumerated Domain Value Definition  Source	edomvds		Y	C,F
Range Domain	rdom			
Range Domain Minimum	rdommin		Y	Q,C,F
Range Domain Maximum	rdommax		Y	Q,C,F
Range Domain Mean	rdommean		Y	F
Range Domain Standard Deviation	rdomstdv		Y	F
Attribute Units of Measure	attrunit		Y	Q,C,F
Attribute Measurement Resolution	attrmres		Y	Q,C,F
Codeset Domain	codesetd			
Codeset Domain Name	codesetn		Y	Q,C,F
Codeset Domain Source	codesets		Y	Q,C,F
Unrepresentable Domain	udom	S4	Y	Q,C,F
Beginning Date of Attribute Values	begdatea		Y	C,F
Ending Date of Attribute Values	enddatea		Y	C,F
Attribute Value Accuracy Information	attrvai			
Attribute Value Accuracy	attrva		Y	C,F
Attribute Value Accuracy Explanation	attrvae		Y	C,F
Attribute Value Measurement Frequency	attrmfrq		Y	Q,C,F
Subtype Information	subtype			
Subtype Name	stname	S		E,F
Subtype Code	stcode	S		E,F
Subtype Attribute	stfield	S		
Subtype Attribute Name	stfldnm	S		E,F
Subtype Default Value	stflddv	S		E,F
Attribute Defined Domain	stflddd			
Domain Name	domname	S		E,F
Domain Description	domdesc	S		E,F
Domain Owner	domowner	S		E,F
Domain Attribute Type	domfldtp	S		E,F
Domain Type	domtype	S		E,F
Merge Rule	mfgtype	S		E,F
Split Rule	splttype	S		E,F
Relationship Information	relinfo			
Description of Relationship	reldesc	S		F
Relationship Cardinality	relcard	S		E,F
Attributed Relationship	relattr	S		E,F
Composite Relationship	relcomp	S		E,F
Notification Direction	relnodir	S		E,F
Origin Name	otfcname	S		E,F
Origin Primary Key	otfcpkey	S		E,F
Origin Foreign Key	otfcfkey	S		E,F
Destination Name	dtfcname	S		E,F
Destination Primary Key	dtfcpkey	S		E,F
Destination Foreign Key	dtfcfkey	S		E,F
Relationship Forward Label	relflab	S		E,F
Relationship Backward Label	relblab	S		E,F
Overview Description	overview			
Entity and Attribute Overview	eaover		Y	Q,E,C,F
Entity and Attribute Detail Citation	eadetcit		Y	Q,E,C,F
				
Distribution Information	distinfo			
Distributor	distrib			
Contact Information	cntinfo			
See Contact Information below.			Y	Q,C,F
Resource Description	resdesc		Y	Q,C,F
Distribution Liability	distliab		Y	Q,C,F
Standard Order Process	stdorder			
Non-Digital Form	nondig		Y	Q,C,F
Digital Form	digform			
Digital Transfer Information	digtinfo			
Format Name	formname	S3	Y	Q,E,C,F
Format Version Number	formvern		Y	Q,C,F
Format Version Date	formverd		Y	C,F
Format Specification	formspec		Y	Q,C,F
Format Information Content	formcont		Y	Q,C,F
File Decompression Technique	filedec	S3	Y	E,C,F
Transfer Size	transize	S	Y	Q,E,C,F
Dataset Size	dssize	S	Y	E,F
Digital Transfer Option	digtopt			
Online Option	onlinopt			
Computer Contact Information	computer			
Network Address	networka			
Network Resource Name	networkr	S3	Y	Q,E,C,F
Dialup Instructions	dialinst			
Lowest BPS	lowbps		Y	C,F
Highest BPS	highbps		Y	C,F
Number DataBits	numdata		Y	C,F
Number StopBits	numstop		Y	C,F
Parity	parity		Y	C,F
Compression Support	compress		Y	C,F
Dialup Telephone	dialtel		Y	E,C,F
Dialup Filename	dialfile		Y	E,C,F
SDE Connection Information	sdeconn			
*       Server Name	server	S3		E,F
*       Instance Name	instance	S3		E,F
*       Database Name	database	S3		E,F
*       User Name	user	S3		E,F
*       Version Name	version	S3		E,F
Access Instructions	accinstr	S3	Y	E,C,F
Online Computer and Operating  System	oncomp		Y	C,F
Offline Option	offoptn			
Offline Media	offmedia		Y	Q,E,C,F
Recording Capacity	recap			
Recording Density	recden		Y	Q,C,F
Recording Density Units	recdenu		Y	Q,C,F
Recording Format	recfmt		Y	Q,C,F
Compatibility Information	compat		Y	Q,C,F
Fees	fees		Y	Q,C,F
Ordering Instructions	ordering		Y	Q,C,F
Turnaround	turnarnd		Y	Q,C,F
Custom Order Process	custom		Y	Q,C,F
Technical Prerequisites	techpreq		Y	Q,C,F
Available Time Period	availabl 
Time Period Information	timeinfo 
See Time Period Information below.			Y	C,F 
					
					
Metadata Reference Information	metainfo 
Metadata Date	metd	S	Y	Q,E,C,F 
Metadata Review Date	metrd		Y	Q,E,C,F 
Metadata Future Review Date	metfrd		Y	Q,E,C,F 
Language of Metadata	langmeta	S	Y	F 
Metadata Contact	metc 
Contact Information	cntinfo 
See Contact Information below.		H1	Y	Q,E,C,F 
Metadata Standard Name	metstdn	S	Y	Q,E,C,F 
Metadata Standard Version	metstdv	S	Y	Q,E,C,F 
Metadata Time Convention	mettc	S	Y	E,C,F 
Metadata Access Constraints	metac		Y	C,F 
Metadata Use Constraints	metuc		Y	C,F 
Metadata Security Information	metsi 
Metadata Security Classification System	metscs		Y	C,F 
Metadata Security Classification	metsc		Y	C,F 
Metadata Security Handling Description	metshd		Y	C,F 
Metadata Extensions	metextns 
Online Linkage	onlink	S	Y	Q,E,C,F 
Profile Name	metprof	S	Y	E,C,F 
					
					
Binary Enclosures	Binary 
Thumbnail	Thumbnail 
Data	Data			E,F 
Enclosure	Enclosure 
Description	Descript		P	E,F 
Data	Data		P	Ea,F 
Citation Information	citeinfo			
Originator	origin	H	Y	G,Q,E,C,F
Publication Date	pubdate	H	Y	G,Q,E,C,F
Publication Time	pubtime		Y	E,C,F
Title	title	S	Y	G,Q,E,C,F
File or Table Name	ftname	S		E,F
Edition	edition		Y	C,F
Geospatial Data Presentation Form	geoform	S	Y	G,Qb,E,C,F
Series Information	serinfo			
Series Name	sername		Y	Q,E,C,F
Issue Identification	issue		Y	Q,E,C,F
Publication Information	pubinfo			
Publication Place	pubplace		Y	G,Q,E,C,F
