Address City  , Location Name                                            , Provider Name                                         , Main or Secondary , Location Type                      , Phone Number, Address Line 1               , Address Line 2, Address Zip Code, Primary Care Type                       , Monday Hours      , Tuesday Hours     , Wednesday Hours   , Thursday Hours    , Friday Hours      , Practitioner First Name, Practitioner Middle Name, Practitioner Last Name, Practitioner Gender, Provider Type                             , Telehealth Participant
North Port    , "CenterPlace Health, Inc."                               , "CenterPlace Health, Inc."                            , Secondary Location, Lab or Other Facility              , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , Participating Yes
North Port    , Comprehensive Childcare Associates                       , Comprehensive Childcare Associates                    , Secondary Location, Medical Specialist                 , 941-955-5191, 2447 Sycamore St             ,               ,            34289, Single Specialty Group                  ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Professionals                     , 
North Port    , Gold Star Pediatrics                                     , Gold Star Pediatrics PA                               , Main Location     ,                                    , 941-266-5629, 3149 Bobcat Village Center Rd, # 14          ,            34288,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , 
North Port    , North Port Health Center                                 , "Centerplace Health, Inc."                            , Secondary Location, "Facilities, Clinic or Urgent Care", 941-861-3855, 6950 Outreach Way            ,               ,            34287, Federally Qualified Health Center (FQHC),                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , "Behavioral Health, Medical Facilities"   , Participating Yes
Port Charlotte, Cepero Pediatrics PA                                     , Cepero Pediatrics PA                                  , Main Location     , Lab or Other Facility              , 941-764-7923, 3488 Depew Ave               ,               ,            33952, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Port Charlotte, Cepero Pediatrics PA                                     , Cepero Pediatrics PA                                  , Main Location     , Lab or Other Facility              , 941-764-7923, 3488 Depew Ave               ,               ,            33952, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Port Charlotte, Cepero Pediatrics PA                                     , Cepero Pediatrics PA                                  , Main Location     , Lab or Other Facility              , 941-764-7923, 3488 Depew Ave               ,               ,            33952, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Port Charlotte, Cepero Pediatrics PA                                     , Cepero Pediatrics PA                                  , Secondary Location, Lab or Other Facility              , 941-764-7923, 3488 Depew Ave               ,               ,            33952, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Port Charlotte, Family Health Centers of Southwest Florida               , "Family Health Centers of SW FL, Inc."                , Secondary Location, "Facilities, Clinic or Urgent Care", 844-342-7935, 4300 Kings Hwy               , Ste 500       ,            33980, Federally Qualified Health Center (FQHC),                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , "Behavioral Health, Medical Facilities"   , 
Port Charlotte, Helgemo & Liou Pediatrics                                ,                                                       , Main Location     , "Professionals, Primary Care"      , 941-629-4464, 2040C Tamiami Trl            ,               ,            33948, Nurse Practitioner: Family              , 7:00 AM - 12:30 PM, 7:00 AM - 12:30 PM, 7:00 AM - 12:30 PM, 7:00 AM - 12:30 PM, 7:00 AM - 12:30 PM, Matthew                , Louis                   , Adamo                 , M                  , "Behavioral Health, Medical Professionals", Participating Yes
Port Charlotte, Helgemo & Liou Pediatrics                                , Helgemo & Liou Pediatrics                             , Main Location     ,                                    , 941-629-4464, 2040 Tamiami Trl             , # C           ,            33948,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , 
Port Charlotte, Helgemo & Liou Pediatrics                                , Helgemo & Liou Pediatrics                             , Main Location     ,                                    , 941-629-4464, 2040C Tamiami Trl            ,               ,            33948,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , 
Port Charlotte, Helgemo & Liou Pediatrics                                ,                                                       , Secondary Location, "Professionals, Primary Care"      , 941-629-4464, 2040 Tamiami Trl             , # C           ,            33948, Nurse Practitioner: Family              , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Matthew                , Louis                   , Adamo                 , M                  , "Behavioral Health, Medical Professionals", Participating Yes
Port Charlotte, LPG Pediatrics AT Harbor Blvd                            , "Lee Health System, Inc."                             , Secondary Location, Lab or Other Facility              , 941-235-4930, 2525 Harbor Blvd             , Ste 204       ,            33952, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Port Charlotte, "Martin Aguero, M.D., PLLC"                              , "Martin Aguero M.D., PLLC"                            , Main Location     , Medical Specialist                 , 941-273-3102, 18316 Murdock Cir            , Unit 108      ,            33948, Single Specialty Group                  ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Professionals                     , 
Port Charlotte, "Martin Aguero, M.D., PLLC"                              ,                                                       , Main Location     , Primary Care                       , 941-273-3102, 18316 Murdock Cir            , Unit 108      ,            33948, General Practice                        , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Martin                 , Francisco               , Aguero                , M                  , Medical Professionals                     , 
Port Charlotte, TLC Medical Center LLC                                   ,                                                       , Secondary Location, Primary Care                       , 941-421-7804, 2400 Harbor Blvd             , Ste 14        ,            33952, Internal Medicine (General Medical Care), 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Alfonso                ,                         , Garcia-Bello          , M                  , Medical Professionals                     , Participating Yes
Port Charlotte, TLC Medical Center LLC                                   ,                                                       , Secondary Location, Primary Care                       , 941-421-7804, 2400 Harbor Blvd             , Ste 14        ,            33952, Nurse Practitioner: Family              , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Jacques                , H                       , Desir                 , M                  , Medical Professionals                     , 
Port Charlotte, TLC Medical Center LLC                                   , TLC Medical Center LLC                                , Secondary Location,                                    , 941-421-7804, 2400 Harbor Blvd             , Ste 14        ,            33952,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , 
Punta Gorda   , AdventHealth Medical Group Primary Care at Punta Gorda   , "Adventhealth Primary Care Network, Inc."             , Secondary Location, Lab or Other Facility              , 941-833-1760, 713 E Marion Ave             , Ste 121       ,            33950, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Punta Gorda   , Familiy Health Centers of Southwest Florida Inc.         , "Family Health Centers of SW FL, Inc."                , Secondary Location, Lab or Other Facility              , 844-342-7935, 4300 Kings Hwy               , Ste 500       ,            33980, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , Participating Y
Punta Gorda   , "Family Health Centers Of Southwest Florida, Inc."       , "Family Health Centers of SW FL, Inc."                , Secondary Location, Lab or Other Facility              , 866-355-2348, 4300 Kings Hwy               , Ste 210       ,            33980, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , Participating Yes
Punta Gorda   , Golisano Children's Hospital Pediatric Infectious Disease, "Lee Health System, Inc."                             , Secondary Location, Lab or Other Facility              , 941-235-4920, 22655 Bayshore Rd            , Ste 120       ,            33980, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Punta Gorda   , LPG Family Medicine AT Babcock Ranch                     ,                                                       , Main Location     , Primary Care                       , 239-343-3535, 42880 Crescent Loop          , Ste 110       ,            33982, Family Medicine                         , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Mitchell               , Scott                   , Fadley                , M                  , Medical Professionals                     , Participating Yes Telehealth and in Person Y
Punta Gorda   , LPG Family Medicine AT Babcock Ranch                     , "Lee Health System, Inc."                             , Secondary Location, Lab or Other Facility              , 239-343-3535, 42880 Crescent Loop          , Ste 110       ,            33982, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , AdventHealth Medical Group Primary Care at Venice        , "Adventhealth Primary Care Network, Inc."             , Secondary Location, Lab or Other Facility              , 941-766-5069, 1221 Jacaranda Blvd          ,               ,            34292, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , SMH Physician Services Inc                               ,                                                       , Main Location     , Primary Care                       , 941-261-0772, 842 Sunset Lake Blvd         , Ste 401       ,            34292, Internal Medicine (General Medical Care), 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, Randall                ,                         , Raine                 , M                  , Medical Professionals                     , 
Venice        , SMH Physician Services Inc                               , "SMH Physician Services, Inc."                        , Main Location     , Lab or Other Facility              , 941-261-0772, 842 Sunset Lake Blvd         , Ste 401       ,            34292, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , SMH Physician Services Inc                               ,                                                       , Main Location     , Primary Care                       , 941-261-0772, 842 Sunset Lake Blvd         , Ste 401       ,            34292, Internal Medicine (General Medical Care), 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, Jeffrey                , J                       , Glover                , M                  , Medical Professionals                     , 
Venice        , "SMH Physician Services, Inc"                            , "SMH Physician Services, Inc."                        , Secondary Location, Lab or Other Facility              , 941-261-0010, 395 Commercial Ct            , Ste A         ,            34292, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , "SMH Physician Services, Inc"                            ,                                                       , Secondary Location, Primary Care                       , 941-261-0010, 395 Commercial Ct            , Ste A         ,            34292, Family Medicine                         , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Darrin                 ,                         , Schwartz              , M                  , Medical Professionals                     , 
Venice        , "SMH Physician Services, Inc - Venice"                   ,                                                       , Main Location     , Primary Care                       , 941-261-4220, 997 US Highway 41 Byp        , Ste 201       ,            34285, Internal Medicine (General Medical Care), 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Nathan                 ,                         , Le                    , M                  , Medical Professionals                     , 
Venice        , "SMH Physician Services, Inc - Venice"                   , "SMH Physician Services, Inc."                        , Secondary Location, Lab or Other Facility              , 941-261-4220, 997 US Highway 41 Byp        , Ste 201       ,            34285, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , "SMH Physician Services, Inc."                           ,                                                       , Main Location     , Primary Care                       , 941-261-1900, 8431 Pointe Loop Dr          , Fl 2          ,            34293, Family Medicine                         , 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, 8:00 AM - 11:30 AM, Jose                   , A                       , Manuel                , M                  , Medical Professionals                     , 
Venice        , "SMH Physician Services, Inc."                           , "SMH Physician Services, Inc."                        , Main Location     , Lab or Other Facility              , 941-261-1900, 8431 Pointe Loop Dr          , Fl 2          ,            34293, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
Venice        , "SMH Physician Services, Inc."                           , "SMH Physician Services, Inc."                        , Secondary Location, Lab or Other Facility              , 941-261-0088, 145 Miami Ave E              ,               ,            34285, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 




